,day,weather_code_berlin,humidity_berlin,temperature_berlin,feels_like_berlin,rain_berlin,snowfall_berlin,sunshine_hours_berlin,daylight_hours_berlin,day_of_week_berlin,weather_description_berlin,weather_code_brooklyn,humidity_brooklyn,temperature_brooklyn,feels_like_brooklyn,rain_brooklyn,snowfall_brooklyn,sunshine_hours_brooklyn,daylight_hours_brooklyn,month_year,year,month_num,season,day_of_week_brooklyn,weather_description_brooklyn,sunny_flag_brooklyn,sunny_flag_berlin,is_weekend,sun_ratio_berlin,sun_ratio_brooklyn,is_very_sunny_berlin,is_very_sunny_brooklyn
3265,2024-06-22,55,77,19.1,18.3,3.6,0.0,9.547408333333331,16.83812777777778,Saturday,Heavy Drizzle,63,87,9.0,7.7,7.3,0.0,11.82806111111111,15.086891666666666,2024-06,2024,6,summer,Saturday,Rain,False,False,True,0.5670112769861256,0.7839958934181457,False,False
3266,2024-06-23,3,70,18.3,16.9,0.0,0.0,12.007633333333334,16.834344444444444,Sunday,Cloudy,63,88,9.6,8.6,17.3,0.0,9.742683333333334,15.084436111111112,2024-06,2024,6,summer,Sunday,Rain,False,False,True,0.7132819084794247,0.6458765353619634,False,False
3272,2024-06-29,51,62,22.3,22.7,0.1,0.0,15.204208333333334,16.773894444444444,Saturday,Light Drizzle,61,80,11.3,10.5,2.9,0.0,13.237280555555555,15.0479,2024-06,2024,6,summer,Saturday,Light Rain,False,False,True,0.9064208901331798,0.8796762708122432,True,True
3273,2024-06-30,63,74,22.9,23.2,7.0,0.0,11.334691666666666,16.757805555555557,Sunday,Rain,61,84,10.7,9.7,6.4,0.0,12.976763888888888,15.038319444444443,2024-06,2024,6,summer,Sunday,Light Rain,False,False,True,0.676382813315851,0.8629131690431573,False,True
3279,2024-07-06,51,63,21.6,20.4,0.1,0.0,12.101861111111113,16.628197222222223,Saturday,Light Drizzle,53,72,9.4,7.5,3.8,0.0,13.80332777777778,14.961388888888887,2024-07,2024,7,summer,Saturday,Drizzle,False,False,True,0.727791530818384,0.9225966840571102,False,True
3280,2024-07-07,3,52,18.7,16.3,0.0,0.0,14.114694444444444,16.601422222222222,Sunday,Cloudy,63,77,9.6,8.1,8.2,0.0,12.150694444444444,14.945491666666666,2024-07,2024,7,summer,Sunday,Rain,False,False,True,0.8502099552381054,0.8130006503261761,True,True
3286,2024-07-13,61,70,18.8,17.5,3.1,0.0,10.244791666666666,16.411852777777778,Saturday,Light Rain,53,86,8.9,7.7,2.6,0.0,11.153555555555556,14.832427777777776,2024-07,2024,7,summer,Saturday,Drizzle,False,False,True,0.6242312678150801,0.7519710004768083,False,False
3287,2024-07-14,55,63,19.3,18.9,1.5,0.0,14.241908333333337,16.375019444444444,Sunday,Heavy Drizzle,61,89,8.9,7.6,6.3,0.0,11.402102777777776,14.810347222222225,2024-07,2024,7,summer,Sunday,Light Rain,False,False,True,0.8697338272880764,0.7698741026590828,True,False
3293,2024-07-20,3,48,24.7,23.8,0.0,0.0,13.98028888888889,16.125819444444442,Saturday,Cloudy,53,71,11.1,9.8,1.4,0.0,13.65922222222222,14.660202777777778,2024-07,2024,7,summer,Saturday,Drizzle,False,False,True,0.8669506028548077,0.9317212339604972,True,True
3294,2024-07-21,53,51,25.7,25.9,0.8,0.0,13.01553611111111,16.080219444444445,Sunday,Drizzle,51,78,11.6,10.8,1.5,0.0,11.245500000000002,14.632575,2024-07,2024,7,summer,Sunday,Light Drizzle,False,False,True,0.8094128414154104,0.7685250203740628,True,False
3300,2024-07-27,63,81,20.4,21.8,9.5,0.0,1.2935333333333334,15.788,Saturday,Rain,53,74,14.9,14.8,1.4,0.0,13.133833333333332,14.454363888888889,2024-07,2024,7,summer,Saturday,Drizzle,False,False,True,0.08193142471075078,0.9086413926128806,False,True
3301,2024-07-28,63,72,19.0,17.8,14.1,0.0,11.272158333333332,15.736747222222222,Sunday,Rain,51,80,14.1,13.9,0.7,0.0,13.22917222222222,14.4229,2024-07,2024,7,summer,Sunday,Light Drizzle,False,False,True,0.7162953165706099,0.9172338588094086,False,True
3307,2024-08-03,3,72,19.7,20.2,0.0,0.0,12.874522222222222,15.41515,Saturday,Cloudy,51,72,13.6,12.8,0.3,0.0,12.9807,14.2238,2024-08,2024,8,summer,Saturday,Light Drizzle,False,False,True,0.8351863084188101,0.9126042267185984,True,True
3308,2024-08-04,61,78,19.6,19.7,7.5,0.0,6.541341666666667,15.358505555555556,Sunday,Light Rain,53,75,12.8,12.0,1.9,0.0,12.961627777777778,14.188472222222222,2024-08,2024,8,summer,Sunday,Drizzle,False,False,True,0.4259100368199886,0.9135323081139815,False,True
3314,2024-08-10,51,69,20.7,20.2,0.1,0.0,13.715461111111113,15.004188888888889,Saturday,Light Drizzle,63,83,10.9,9.9,7.8,0.0,11.824516666666668,13.966105555555556,2024-08,2024,8,summer,Saturday,Rain,False,False,True,0.9141088007275007,0.8466581195187237,True,True
3315,2024-08-11,3,63,20.8,20.3,0.0,0.0,12.0,14.943288888888889,Sunday,Cloudy,61,87,10.1,8.9,6.0,0.0,12.415744444444444,13.927652777777778,2024-08,2024,8,summer,Sunday,Light Rain,False,False,True,0.8030360711906348,0.8914455753990611,True,True
3321,2024-08-17,3,70,23.3,25.0,0.0,0.0,12.499205555555555,14.571725,Saturday,Cloudy,51,81,13.3,13.0,1.0,0.0,11.967930555555556,13.691708333333334,2024-08,2024,8,summer,Saturday,Light Drizzle,False,False,True,0.8577711668011546,0.8741006063077511,True,True
3322,2024-08-18,51,78,20.7,21.4,0.1,0.0,5.994994444444444,14.509227777777776,Sunday,Light Drizzle,61,88,10.2,8.9,6.3,0.0,7.055913888888889,13.651808333333332,2024-08,2024,8,summer,Sunday,Light Rain,False,False,True,0.41318494245616105,0.516848297061175,False,False
3328,2024-08-24,3,58,25.2,24.8,0.0,0.0,12.744008333333332,14.128516666666668,Saturday,Cloudy,61,77,9.7,8.1,5.8,0.0,11.502975,13.407116666666669,2024-08,2024,8,summer,Saturday,Light Rain,False,False,True,0.902006108213766,0.8579753041606011,True,True
3329,2024-08-25,3,56,21.8,20.1,0.0,0.0,7.186597222222222,14.063466666666669,Sunday,Cloudy,51,66,9.8,8.0,0.2,0.0,12.070980555555556,13.365105555555555,2024-08,2024,8,summer,Sunday,Light Drizzle,False,False,True,0.5110117862515327,0.903171359581065,False,True
3335,2024-08-31,51,65,19.1,18.1,0.1,0.0,10.593041666666666,13.667138888888887,Saturday,Light Drizzle,51,67,9.9,8.2,1.1,0.0,12.0,13.10816111111111,2024-08,2024,8,summer,Saturday,Light Drizzle,False,False,True,0.7750738287498197,0.9154602158366989,False,True
3336,2024-09-01,53,63,19.1,17.4,0.8,0.0,11.852444444444446,13.600491666666668,Sunday,Drizzle,51,70,8.9,7.0,1.3,0.0,12.0,13.064802777777778,2024-09,2024,9,autumn,Sunday,Light Drizzle,False,False,True,0.8714717625608714,0.9184983657320166,True,True
3342,2024-09-07,3,51,24.1,23.1,0.0,0.0,11.981547222222222,13.20075,Saturday,Cloudy,73,64,1.2,-2.2,0.5,0.77,6.916691666666667,12.804044444444443,2024-09,2024,9,autumn,Saturday,Snow,False,False,True,0.9076414008463324,0.5401958495753079,True,False
3343,2024-09-08,3,51,25.9,25.4,0.0,0.0,11.954661111111111,13.134508333333336,Sunday,Cloudy,73,60,6.9,4.1,2.9,2.45,11.311152777777778,12.760733333333333,2024-09,2024,9,autumn,Sunday,Snow,False,False,True,0.9101719537359494,0.8864030367464079,True,True
3349,2024-09-14,51,64,13.7,9.2,1.3,0.0,10.47201111111111,12.733272222222222,Saturday,Light Drizzle,53,66,5.8,3.3,3.0,0.0,11.614158333333334,12.49736388888889,2024-09,2024,9,autumn,Saturday,Drizzle,False,False,True,0.8224131965729329,0.9293286517534476,True,True
3350,2024-09-15,3,68,13.6,9.8,0.0,0.0,7.915838888888889,12.665480555555556,Sunday,Cloudy,53,74,6.2,3.9,0.8,0.0,11.569916666666666,12.452805555555557,2024-09,2024,9,autumn,Sunday,Drizzle,False,False,True,0.6249931737028884,0.9291012065554168,False,True
3356,2024-09-21,0,58,16.5,14.1,0.0,0.0,11.152319444444444,12.256661111111113,Saturday,Sunny,53,61,9.8,7.5,0.8,0.0,11.301361111111111,12.183925,2024-09,2024,9,autumn,Saturday,Drizzle,False,True,True,0.9098986537479166,0.9275632533121396,True,True
3357,2024-09-22,2,67,16.7,15.2,0.0,0.0,11.083825,12.188527777777775,Sunday,Partly Cloudy,53,63,10.4,8.2,2.0,0.0,11.214144444444443,12.139108333333333,2024-09,2024,9,autumn,Sunday,Drizzle,False,False,True,0.9093653640604669,0.9238029793054083,True,True
3363,2024-09-28,51,68,12.6,8.4,0.4,0.0,10.134969444444444,11.783144444444444,Saturday,Light Drizzle,3,62,-2.3,-6.1,0.0,0.0,10.632561111111112,11.872580555555556,2024-09,2024,9,autumn,Saturday,Cloudy,False,False,True,0.8601243489994653,0.8955560302461625,True,True
3364,2024-09-29,3,72,9.7,6.8,0.0,0.0,10.139208333333334,11.71643888888889,Sunday,Cloudy,3,70,1.9,-1.6,0.0,0.0,10.57186111111111,11.828702777777778,2024-09,2024,9,autumn,Sunday,Cloudy,False,False,True,0.8653831108143876,0.8937464496083325,True,True
3370,2024-10-05,51,80,10.9,8.7,0.1,0.0,7.645269444444445,11.311680555555556,Saturday,Light Drizzle,3,73,1.5,-2.1,0.0,0.0,10.357930555555557,11.5626,2024-10,2024,10,autumn,Saturday,Cloudy,False,False,True,0.6758738815948607,0.8958132734467643,False,True
3371,2024-10-06,3,81,9.4,7.3,0.0,0.0,4.669613888888889,11.243738888888888,Sunday,Cloudy,75,89,1.6,-1.1,2.1,1.89,6.188408333333333,11.518025,2024-10,2024,10,autumn,Sunday,Heavy Snow,False,False,True,0.4153079269301977,0.5372803352426595,False,False
3377,2024-10-12,3,75,8.4,5.0,0.0,0.0,7.011699999999999,10.837130555555555,Saturday,Cloudy,73,92,2.3,-0.4,3.8,2.52,7.187025,11.252008333333334,2024-10,2024,10,autumn,Saturday,Snow,False,False,True,0.6470070618836935,0.6387326410618549,False,False
3378,2024-10-13,55,75,10.4,5.5,3.7,0.0,8.680102777777778,10.76995,Sunday,Heavy Drizzle,3,81,3.2,0.5,0.0,0.0,9.996816666666668,11.208197222222225,2024-10,2024,10,autumn,Sunday,Cloudy,False,False,True,0.8059557173225297,0.8919201249284067,True,True
3384,2024-10-19,3,80,13.8,11.9,0.0,0.0,7.284902777777778,10.374661111111113,Saturday,Cloudy,2,48,-2.7,-6.6,0.0,0.0,9.870075,10.951377777777775,2024-10,2024,10,autumn,Saturday,Partly Cloudy,False,False,True,0.7021822399553612,0.9012633113641715,False,True
3385,2024-10-20,3,83,13.0,11.4,0.0,0.0,6.662063888888889,10.309866666666666,Sunday,Cloudy,2,46,-0.6,-4.5,0.0,0.0,9.828669444444444,10.909350000000002,2024-10,2024,10,autumn,Sunday,Partly Cloudy,False,False,True,0.6461833216939975,0.9009399684164906,False,True
3391,2024-10-26,3,94,10.7,9.7,0.0,0.0,6.124597222222222,9.920169444444443,Saturday,Cloudy,73,86,-3.6,-7.0,0.0,0.49,6.672547222222222,10.657861111111112,2024-10,2024,10,autumn,Saturday,Snow,False,False,True,0.6173883678622201,0.6260681343713429,False,False
3392,2024-10-27,51,90,11.7,9.8,0.1,0.0,5.493552777777778,9.855575,Sunday,Light Drizzle,75,88,-0.2,-3.2,0.2,15.96,2.1141972222222223,10.61640277777778,2024-10,2024,10,autumn,Sunday,Heavy Snow,False,False,True,0.5574056082752937,0.19914440573483638,False,False
3398,2024-11-02,51,75,8.1,5.0,0.3,0.0,8.034786111111112,9.475475,Saturday,Light Drizzle,75,74,-5.0,-8.9,0.0,4.13,8.101011111111111,10.373983333333332,2024-11,2024,11,autumn,Saturday,Heavy Snow,False,False,True,0.8479560244854334,0.780896869679867,True,False
3399,2024-11-03,3,84,4.5,1.4,0.0,0.0,7.995627777777777,9.413972222222222,Sunday,Cloudy,3,61,-3.7,-8.1,0.0,0.0,9.169963888888889,10.335025,2024-11,2024,11,autumn,Sunday,Cloudy,False,False,True,0.8493362407532539,0.8872706054304551,True,True
3405,2024-11-09,3,90,3.8,0.1,0.0,0.0,7.560461111111111,9.061672222222224,Saturday,Cloudy,3,84,-5.7,-9.3,0.0,0.0,7.205063888888889,10.113283333333332,2024-11,2024,11,autumn,Saturday,Cloudy,False,False,True,0.8343339866752577,0.7124356800269833,True,False
3406,2024-11-10,3,93,1.5,-1.6,0.0,0.0,0.7081944444444445,9.005091666666667,Sunday,Cloudy,73,79,-6.0,-9.6,0.0,1.61,8.311222222222222,10.077844444444445,2024-11,2024,11,autumn,Sunday,Snow,False,False,True,0.07864377961480434,0.82470237242091,False,True
3412,2024-11-16,3,80,6.6,3.1,0.0,0.0,4.817394444444444,8.67565,Saturday,Cloudy,3,77,-10.7,-14.9,0.0,0.0,8.759488888888889,9.873105555555556,2024-11,2024,11,autumn,Saturday,Cloudy,False,False,True,0.5552776384990686,0.8872070535050606,False,True
3413,2024-11-17,55,86,6.1,2.1,3.7,0.0,1.7775944444444445,8.623061111111111,Sunday,Heavy Drizzle,3,50,-9.0,-13.2,0.0,0.0,8.592675,9.840694444444445,2024-11,2024,11,autumn,Sunday,Cloudy,False,False,True,0.20614424756354247,0.873177705954582,False,True
3419,2024-11-23,51,81,2.0,-2.4,0.1,0.0,4.128313888888889,8.328338888888888,Saturday,Light Drizzle,0,36,-14.5,-19.5,0.0,0.0,8.549563888888889,9.660625,2024-11,2024,11,autumn,Saturday,Sunny,True,False,True,0.4956947530553312,0.8849907629049766,False,True
3420,2024-11-24,63,78,8.2,4.4,11.4,0.0,1.1102055555555554,8.283458333333334,Sunday,Rain,3,53,-10.6,-15.6,0.0,0.0,8.246369444444445,9.633458333333332,2024-11,2024,11,autumn,Sunday,Cloudy,False,False,True,0.1340268171674136,0.8560134023635797,False,True
3426,2024-11-30,3,87,3.0,-0.2,0.0,0.0,6.553861111111112,8.045530555555555,Saturday,Cloudy,71,82,-11.7,-15.7,0.0,0.07,6.0782,9.490505555555556,2024-11,2024,11,autumn,Saturday,Light Snow,False,False,True,0.8145965099325334,0.6404506023856591,True,False
3427,2024-12-01,1,90,0.3,-3.3,0.0,0.0,6.518108333333333,8.010488888888888,Sunday,Mainly Sunny,73,90,-12.4,-16.3,0.1,2.8,0.0292722222222222,9.469583333333333,2024-12,2024,12,winter,Sunday,Snow,False,False,True,0.8136966948889235,0.0030911837608717948,True,False
3433,2024-12-07,53,91,5.1,1.8,2.8,0.0,2.0,7.828633333333334,Saturday,Drizzle,73,73,-14.8,-18.8,0.0,1.12,8.001794444444444,9.361905555555555,2024-12,2024,12,winter,Saturday,Snow,False,False,True,0.2554724323956076,0.8547185609767242,False,True
3434,2024-12-08,51,93,4.2,0.9,1.9,0.0,0.0,7.803561111111111,Sunday,Light Drizzle,73,85,-16.5,-20.7,0.0,5.6,0.0,9.3472,2024-12,2024,12,winter,Sunday,Snow,False,False,True,0.0,0.0,False,False
